,name,elo,games
366,Spankster79,1053.733632471311,1
367,Prophet of Why,944.8667657741731,5
368,Kartr Kana,1047.1162600854198,1
369,Pool Boy,986.0,1
370,Undead Viren,1014.0,1
371,johnmichals,1072.5297477724023,1
372,bykoolya,930.0,1
373,Feller of Giants,1081.7336466951326,3
374,Slendy,1058.3505377265567,1
375,phillipsosophy,893.4014251053587,2
376,Dread_Lord_Loki,925.6600364211729,1
377,Baxtdraft,956.7368877702087,1
378,SirStriker,922.4953660230879,1
379,Nidamir,1017.8651673756175,3
380,MoDArch,958.0,1
381,Paul Indrome,1042.0,1
382,notKappa,1050.877603894563,2
383,Aiku,986.0,1
384,Commissar Martin,1056.7535800882767,1
385,GloryHaster,870.8888339733006,2
386,BuffaloBill,968.235303660533,2
387,Green Knight,1109.0210394462927,5
388,Inlustris,873.2939250426749,2
389,sombrio2011,955.6046408314534,1
390,Smiley87,920.0324485299278,2
391,rasproteus,891.164866925785,1
392,Ultador,1070.0,1
393,[HP] BWONeill,930.0,1
394,CarloNord,1104.9375258762764,2
395,[XGN] XLency,895.0624741237236,2
396,SemperLooney,1043.9505012242892,1
397,Derpy Dinosaur,1139.0313989601643,2
398,lt. durann,874.0,1
399,twosheds17,994.5620014018094,2
400,cadetvw,1090.5975054121468,3
401,BigDamnHeroine,981.8872992742358,1
402,lacrdc,877.8695853104448,2
403,rc30hrc1990,869.9501276757225,1
404,skycake21,1039.415714286066,3
405,Old-Owl,994.9520870066289,1
406,Aghataraptor,1069.9758620159778,1
407,yanczi,1039.0,2
408,SkyRraaHh,930.0,1
409,Kaimetsu,1070.0,1
410,Keter,964.2490843366902,1
411,Trenchant_Phoenix,1027.5510587157369,1
412,chrispy,1032.0271616395721,1
